Method, Size, H2D (s), D2H (s)
mkn_offload, 100, 0.001929, 0.000063
mkn_offload, 200, 0.001930, 0.000066
mkn_offload, 500, 0.002859, 0.000185
mkn_offload, 1000, 0.004291, 0.000629
mkn_offload, 2000, 0.005685, 0.000787
mkn_offload, 5000, 0.014890, 0.009616
mnk_offload, 100, 0.001635, 0.000065
mnk_offload, 200, 0.001923, 0.000061
mnk_offload, 500, 0.002936, 0.000172
mnk_offload, 1000, 0.004320, 0.000607
mnk_offload, 2000, 0.007033, 0.001254
mnk_offload, 5000, 0.015048, 0.009434
